user_id,user_uuid,org_name,email,first_name,last_name,summary_date,leads_added_today,leads_added_week,leads_added_month,total_leads_created,calls_made_today,emails_sent_today,meetings_scheduled_today,leads_contacted_today,tasks_completed_today,tasks_due_today,total_pending_tasks,task_completion_rate,lead_velocity_daily,engagement_score,is_active_today,daily_engagement_rank,week_number,year_month
1,8a643300-7405-4c40-9122-d713f0d615a5,Apex Solutions,charlotte.wang769@enterprise.com,Charlotte,Wang,2026-05-05,8,10,28,227,0,9,2,7,3,0,0,1.0,1.4285714285714286,77,True,388.0,19,2026-05
2,646ab099-5596-448a-bbb2-45d22239b300,Apex Solutions,patricia.thomas900@crm.app,Patricia,Thomas,2026-05-05,3,9,47,269,9,12,2,14,3,0,0,1.0,1.2857142857142858,104,True,149.0,19,2026-05
3,38502a03-9430-4761-83ad-cbea72054d73,Apex Solutions,robert.williams881@techcorp.net,Robert,Williams,2026-05-05,0,0,4,60,0,0,1,0,0,2,2,0.0,0.0,5,True,1567.0,19,2026-05
4,2c4eba6e-1e67-4ce0-9861-b06e3dc5f68a,Apex Solutions,robert.mehta828@salesteam.co,Robert,Mehta,2026-05-05,1,1,3,101,3,0,0,2,0,1,3,0.0,0.14285714285714285,17,True,1353.0,19,2026-05
5,96c264b0-7447-4384-9263-5930805992a9,Apex Solutions,robert.baker70@company.io,Robert,Baker,2026-05-05,3,6,25,497,5,1,0,3,1,4,22,0.2,0.8571428571428571,36,True,1004.0,19,2026-05
6,e663d925-a5c8-4ef8-9dd0-4f20d2e91353,Apex Solutions,rahul.jones901@company.io,Rahul,Jones,2026-05-05,1,1,1,65,3,5,0,4,0,0,8,0.0,0.14285714285714285,31,True,1101.0,19,2026-05
7,3d275db2-1d76-456e-af64-83bd5f03322a,BluePeak Ventures,priya.rodriguez653@enterprise.com,Priya,Rodriguez,2026-05-05,2,2,8,105,0,2,1,2,1,2,12,0.3333333333333333,0.2857142857142857,22,True,1256.0,19,2026-05
8,fbce9f50-3ec3-4c63-ae16-3397279979dc,BluePeak Ventures,mary.lopez755@techcorp.net,Mary,Lopez,2026-05-05,3,6,17,273,0,10,1,6,0,5,8,0.0,0.8571428571428571,49,True,784.0,19,2026-05
9,b97b9ca5-0ffc-46c1-95c3-9815a41b5dbe,BluePeak Ventures,linda.taylor183@crm.app,Linda,Taylor,2026-05-05,10,10,27,318,6,11,3,2,6,4,45,0.6,1.4285714285714286,105,True,142.0,19,2026-05
10,9fe3e011-5ca8-45b6-9e1d-243923231793,BluePeak Ventures,arun.reddy714@enterprise.com,Arun,Reddy,2026-05-05,3,3,13,160,7,7,1,10,5,2,2,0.7142857142857143,0.42857142857142855,77,True,388.0,19,2026-05
